,Date,Daily Test,Daily Cases,Daily Deaths,Daily Recovering,Total Intensive Care,Total Intubated
0,11-27 March,47823,5698,92,42,0.0,0.0
1,28 March,7641,1704,16,28,445.0,309.0
2,29 March,9982,1815,23,35,568.0,394.0
3,30 March,11535,1610,37,57,725.0,523.0
4,31 March,15422,2704,46,81,847.0,622.0
5,1 April,14396,2148,63,90,979.0,692.0
6,2 April,18757,2456,79,82,1101.0,783.0
7,3 April,16160,2786,69,69,1251.0,867.0
8,4 April,19664,3013,76,302,1311.0,909.0
9,5 April,20065,3135,73,256,1381.0,935.0
10,6 April,21400,3148,75,284,1415.0,966.0
11,7 April,20023,3892,76,256,1474.0,987.0
12,8 April,24900,4117,87,264,1492.0,995.0
13,9 April,28578,4056,96,296,1552.0,1017.0
14,10 April,30864,4747,98,281,1667.0,1062.0
15,11 April,33170,5138,95,542,1626.0,1021.0
16,12 April,35720,4789,97,481,1665.0,978.0
17,13 April,34456,4093,98,511,1786.0,1063.0
18,14 April,33070,4062,107,842,1809.0,1087.0
19,15 April,34090,4281,115,875,1820.0,1052.0
20,16 April,40427,4801,125,1415,1854.0,1040.0
21,17 April,40270,4353,126,1542,1845.0,1014.0
22,18 April,40520,3783,121,1822,1894.0,1054.0
23,19 April,35344,3977,127,1523,1922.0,1031.0
24,20 April,39703,4674,123,1454,1909.0,1033.0
25,21 April,39429,4611,119,1488,1865.0,1006.0
26,22 April,37535,3083,117,1559,1814.0,985.0
27,23 April,40962,3116,115,2014,1816.0,982.0
28,24 April,38351,3122,109,3246,1790.0,929.0
29,25 April,38308,2861,106,3845,1782.0,900.0
30,26 April,30177,2357,99,3558,1776.0,883.0
31,27 April,20143,2131,95,4651,1736.0,882.0
32,28 April,29230,2392,92,5018,1621.0,845.0
33,29 April,43498,2936,89,5231,1574.0,831.0
34,30 April,42004,2615,93,4846,1514.0,803.0
35,1 May,41431,2188,84,4922,1480.0,818.0
36,2 May,36318,1983,78,4451,1445.0,778.0
37,3 May,24001,1670,61,4892,1424.0,766.0
38,4 May,35771,1614,64,5015,1384.0,727.0
39,5 May,33283,1832,59,5119,1338.0,707.0
40,6 May,30303,2253,64,4917,1278.0,669.0
41,7 May,30395,1977,57,4782,1260.0,665.0
42,8 May,33687,1848,48,3412,1219.0,653.0
43,9 May,35605,1546,50,3084,1168.0,628.0
44,10 May,36187,1542,47,3211,1154.0,598.0
45,11 May,32722,1114,55,3089,1126.0,578.0
46,12 May,37351,1704,53,3109,1045.0,576.0
47,13 May,33332,1639,58,2826,998.0,535.0
48,14 May,34821,1635,55,2315,963.0,508.0
49,15 May,38565,1708,48,2103,944.0,490.0
50,16 May,42236,1610,41,2004,906.0,474.0
51,17 May,35369,1368,44,1825,914.0,468.0
52,18 May,25141,1158,31,1615,903.0,463.0
53,19 May,25382,1022,28,1318,882.0,455.0
54,20 May,20838,972,23,1092,877.0,445.0
55,21 May,33633,961,27,1003,820.0,424.0
56,22 May,37507,952,27,1121,800.0,401.0
57,23 May,40178,1186,32,1491,775.0,388.0
58,24 May,24589,1141,32,1092,769.0,385.0
59,25 May,21492,987,29,1321,756.0,371.0
60,26 May,19853,948,28,1492,739.0,338.0
61,27 May,21043,1035,34,1286,723.0,331.0
62,28 May,33559,1182,30,1576,683.0,339.0
63,29 May,36155,1141,28,1594,662.0,324.0
64,30 May,39230,983,26,1021,649.0,308.0
65,31 May,35600,839,25,989,648.0,287.0
66,1 June,31525,827,23,974,651.0,283.0
67,2 June,32325,786,22,974,633.0,271.0
68,3 June,52305,867,24,931,612.0,261.0
69,4 June,54234,988,21,926,602.0,265.0
70,5 June,57829,930,18,1622,592.0,269.0
71,6 June,35846,878,21,1922,591.0,264.0
72,7 June,35335,914,23,2647,613.0,274.0
73,8 June,39361,989,19,3411,625.0,261.0
74,9 June,37225,993,18,3218,642.0,281.0
75,10 June,36521,922,17,2241,631.0,280.0
76,11 June,49190,987,17,1021,643.0,266.0
77,12 June,41013,1195,15,1242,664.0,282.0
78,13 June,45092,1459,14,985,684.0,284.0
79,14 June,45176,1562,15,1330,717.0,290.0
80,15 June,42032,1592,18,947,722.0,291.0
81,16 June,46800,1467,17,1015,732.0,303.0
82,17 June,52901,1429,19,1261,745.0,306.0
83,18 June,48412,1304,21,1382,755.0,311.0
84,19 June,41316,1214,23,1494,769.0,310.0
85,20 June,41112,1248,22,1312,781.0,318.0
86,21 June,40496,1192,23,1412,803.0,327.0
87,22 June,41413,1212,24,1293,846.0,345.0
88,23 June,42982,1268,27,1315,893.0,362.0
89,24 June,53486,1492,24,1386,914.0,356.0
90,25 June,52303,1458,21,1472,941.0,369.0
91,26 June,51198,1396,19,1492,963.0,382.0
92,27 June,45213,1372,17,1984,984.0,366.0
93,28 June,48309,1356,15,1413,996.0,381.0
94,29 June,51014,1374,18,1214,1018.0,375.0
95,30 June,50492,1293,16,1302,1026.0,368.0
96,1 July,52313,1192,19,2311,1035.0,362.0
97,2 July,49714,1186,17,1543,1067.0,372.0
98,3 July,52141,1172,19,1313,1082.0,374.0
99,4 July,48248,1154,20,1214,1093.0,378.0
100,5 July,46414,1148,19,1188,1127.0,392.0
101,6 July,52193,1086,16,2315,1130.0,395.0
102,7 July,50545,1053,19,2297,1152.0,400.0
103,8 July,49302,1041,22,2219,1172.0,406.0
104,9 July,50103,1024,18,2879,1179.0,399.0
105,10 July,48787,1003,23,1493,1182.0,402.0
106,11 July,48813,1016,21,1334,1194.0,401.0
107,12 July,45232,1012,19,1298,1209.0,409.0
108,13 July,46492,1008,19,1156,1223.0,402.0
109,14 July,43231,992,20,1049,1204.0,396.0
110,15 July,42320,947,17,1013,1206.0,401.0
111,16 July,42411,933,21,1087,1213.0,394.0
112,17 July,41215,926,18,1014,1226.0,402.0
113,18 July,40943,918,17,1179,1231.0,394.0
114,19 July,41310,924,16,997,1246.0,398.0
115,20 July,43404,931,17,992,1243.0,385.0
116,21 July,42846,928,18,1009,1246.0,379.0
117,22 July,43404,902,19,1203,1244.0,381.0
118,23 July,43343,913,18,1151,1251.0,378.0
119,24 July,42986,937,17,1009,1248.0,379.0
120,25 July,43312,921,16,1103,1252.0,386.0
121,26 July,40016,927,17,1010,1249.0,387.0
122,27 July,45283,919,17,982,1263.0,392.0
123,28 July,47412,963,15,1092,1280.0,403.0
124,29 July,45712,942,14,996,,
125,30 July,43236,967,15,982,,
126,31 July,46492,982,17,996,,
127,1 August,44846,996,19,981,,
128,2 August,40247,987,18,978,,
129,3 August,41301,995,19,1003,,
130,4 August,46249,1083,18,994,,
131,5 August,53842,1178,19,1015,,
132,6 August,54494,1153,14,1040,,
133,7 August,56726,1185,15,1028,,
134,8 August,63842,1172,16,1082,,
135,9 August,61446,1182,15,1103,,
136,10 August,62219,1193,14,1211,,
137,11 August,61716,1183,15,1185,,
138,12 August,67237,1212,18,934,,
139,13 August,66892,1243,21,968,,
140,14 August,70192,1226,22,923,,
141,15 August,67214,1256,21,992,,
142,16 August,65956,1192,19,997,,
143,17 August,74846,1233,22,1002,,
144,18 August,82318,1263,20,942,,
145,19 August,87223,1303,23,1002,,
146,20 August,92301,1412,19,882,,
